Date,Open,High,Low,Close,Adj Close,Volume
1980-07-01,0.986193,1.099195,0.981057,1.088922,0.446359,104785000
1980-08-01,1.088922,1.106899,1.019580,1.024716,0.420041,67482600
1980-09-01,1.024716,1.047830,0.950238,0.970784,0.397933,123737800
1980-10-01,0.970784,0.988761,0.852646,0.870624,0.356877,121834600
1980-11-01,0.878328,1.073512,0.878328,1.042694,0.427410,105578600
1980-12-01,1.037557,1.060671,0.952807,1.052967,0.431621,72106400
1981-01-01,1.058103,1.094058,1.011875,1.073512,0.440043,77621100
1981-02-01,1.070944,1.243014,1.050399,1.225037,0.502154,74326100
1981-03-01,1.225037,1.309788,1.168536,1.255856,0.514787,87043600
1981-04-01,1.255856,1.263560,1.183946,1.199355,0.491627,79596900
1981-05-01,1.199355,1.250719,1.114604,1.240446,0.508470,67244100
1981-06-01,1.258424,1.379130,1.258424,1.302083,0.533736,80225100
1981-07-01,1.302083,1.304651,1.060671,1.104331,0.452675,74939300
1981-08-01,1.104331,1.142854,1.047830,1.063240,0.435832,53825300
1981-09-01,1.063240,1.065808,0.891169,0.960511,0.393722,71639400
1981-10-01,0.960511,1.088922,0.945102,1.078649,0.442148,53942000
1981-11-01,1.078649,1.135150,1.063240,1.119740,0.458992,50082500
1981-12-01,1.119740,1.124877,1.006739,1.073512,0.440043,93746000
1982-01-01,1.073512,1.109468,0.970784,1.027285,0.421093,104580700
1982-02-01,1.022148,1.063240,0.996466,1.055535,0.432673,78064100
1982-03-01,1.055535,1.109468,0.965648,1.088922,0.446359,203691200
1982-04-01,1.088922,1.196787,1.088922,1.173673,0.483903,151655900
1982-05-01,1.173673,1.194218,1.124877,1.176241,0.484961,115001400
1982-06-01,1.171105,1.217332,1.081217,1.207060,0.497668,175267000
1982-07-01,1.207060,1.212196,1.027285,1.042694,0.432164,295856400
1982-08-01,1.055535,1.165968,1.019580,1.112036,0.460904,188865600
1982-09-01,1.112036,1.194218,1.068376,1.163400,0.482192,220687400
1982-10-01,1.165968,1.438199,1.130013,1.356016,0.564978,242477900
1982-11-01,1.356016,1.469017,1.263560,1.353448,0.563908,164700300
1982-12-01,1.361152,1.443335,1.263560,1.299515,0.543991,136295200
